person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_grade_encoded,home_OTHER,home_OWN,home_RENT,intent_EDUCATION,intent_HOMEIMPROVEMENT,intent_MEDICAL,intent_PERSONAL,intent_VENTURE,cred_hist_to_age_ratio,income_per_emp_year
21,9600,5.0,1000,11.14,0,0.1,0,2,2,False,True,False,True,False,False,False,False,0.09523809523809523,1600.0
25,9600,1.0,5500,12.87,1,0.57,0,3,3,False,False,False,False,False,True,False,False,0.12,4800.0
23,65500,4.0,35000,15.23,1,0.53,0,2,3,False,False,True,False,False,True,False,False,0.08695652173913043,13100.0
24,54400,8.0,35000,14.27,1,0.55,1,4,3,False,False,True,False,False,True,False,False,0.16666666666666666,6044.444444444444
21,9900,2.0,2500,7.14,1,0.25,0,2,1,False,True,False,False,False,False,False,True,0.09523809523809523,3300.0
26,77100,8.0,35000,12.42,1,0.45,0,3,2,False,False,True,True,False,False,False,False,0.11538461538461539,8566.666666666666
24,78956,5.0,35000,11.11,1,0.44,0,4,2,False,False,True,False,False,True,False,False,0.16666666666666666,13159.333333333334
24,83000,8.0,35000,8.9,1,0.42,0,2,1,False,False,True,False,False,False,True,False,0.08333333333333333,9222.222222222223
22,85000,6.0,35000,10.37,1,0.41,0,4,2,False,False,True,False,False,False,False,True,0.18181818181818182,12142.857142857143
21,10000,2.0,4500,8.63,1,0.45,0,2,1,False,True,False,False,True,False,False,False,0.09523809523809523,3333.3333333333335
23,95000,2.0,35000,7.9,1,0.37,0,2,1,False,False,True,False,False,False,False,True,0.08695652173913043,31666.666666666668
26,108160,4.0,35000,18.39,1,0.32,0,4,5,False,False,True,True,False,False,False,False,0.15384615384615385,21632.0
23,115000,2.0,35000,7.9,0,0.3,0,4,1,False,False,True,True,False,False,False,False,0.17391304347826086,38333.333333333336
23,500000,7.0,30000,10.65,0,0.06,0,3,2,False,False,False,False,False,False,False,False,0.13043478260869565,62500.0
23,120000,0.0,35000,7.9,0,0.29,0,4,1,False,False,True,True,False,False,False,False,0.17391304347826086,120000.0
23,92111,7.0,35000,20.25,1,0.32,0,4,6,False,False,True,False,False,True,False,False,0.17391304347826086,11513.875
24,10800,8.0,1750,10.99,1,0.16,0,2,2,False,False,False,True,False,False,False,False,0.08333333333333333,1200.0
25,162500,2.0,35000,7.49,0,0.22,0,4,1,False,False,True,False,False,False,False,True,0.16,54166.666666666664
25,137000,9.0,34800,16.77,0,0.25,1,2,5,False,False,True,False,False,False,True,False,0.08,13700.0
22,65000,4.0,34000,17.58,1,0.52,0,4,4,False,False,True,True,False,False,False,False,0.18181818181818182,13000.0
24,10980,0.0,1500,7.29,0,0.14,0,3,1,False,True,False,False,False,False,True,False,0.125,10980.0
22,80000,3.0,33950,14.54,1,0.42,1,4,4,False,False,True,False,False,False,True,False,0.18181818181818182,20000.0
24,67746,8.0,33000,12.68,1,0.49,0,3,3,False,False,True,False,True,False,False,False,0.125,7527.333333333333
21,11000,3.0,4575,17.74,1,0.42,1,3,5,False,False,False,False,False,False,False,True,0.14285714285714285,2750.0
23,11000,0.0,1400,9.32,0,0.13,0,3,1,False,True,False,False,False,False,True,False,0.13043478260869565,11000.0
24,65000,6.0,32500,9.99,1,0.5,0,3,2,False,False,True,False,True,False,False,False,0.125,9285.714285714286
21,11389,5.0,4000,12.84,1,0.35,1,2,3,True,False,False,True,False,False,False,False,0.09523809523809523,1898.1666666666667
21,11520,5.0,2000,11.12,1,0.17,0,3,2,False,True,False,False,False,True,False,False,0.14285714285714285,1920.0
25,120000,2.0,32000,6.62,0,0.27,0,2,1,False,False,True,False,False,False,False,True,0.08,40000.0
26,95000,7.0,31050,14.17,1,0.33,1,3,3,False,False,True,False,True,False,False,False,0.11538461538461539,11875.0
25,306000,2.0,24250,13.85,0,0.08,0,3,3,False,False,True,False,False,False,False,False,0.12,102000.0
26,300000,10.0,7800,13.49,0,0.03,0,4,3,False,False,False,False,False,True,False,False,0.15384615384615385,27272.727272727272
21,12000,5.0,2500,7.51,1,0.21,0,4,1,False,True,False,True,False,False,False,False,0.19047619047619047,2000.0
22,48000,1.0,30000,18.39,1,0.63,0,2,5,False,False,True,True,False,False,False,False,0.09090909090909091,24000.0
24,64000,8.0,30000,14.54,1,0.47,1,3,4,False,False,True,False,False,False,False,False,0.125,7111.111111111111
25,75000,4.0,30000,16.89,1,0.4,1,4,4,False,False,True,False,True,False,False,False,0.16,15000.0
23,71500,3.0,30000,15.31,1,0.42,0,4,4,False,False,True,False,False,False,False,False,0.17391304347826086,17875.0
26,62050,6.0,30000,17.99,1,0.41,0,2,5,False,False,True,False,False,True,False,False,0.07692307692307693,8864.285714285714
24,12000,4.0,2500,12.69,1,0.21,0,3,2,False,True,False,False,False,False,False,True,0.125,2400.0
26,300000,10.0,20000,7.88,0,0.07,0,4,1,False,False,False,False,False,False,False,True,0.15384615384615385,27272.727272727272
23,300000,1.0,24250,19.41,0,0.08,1,2,6,False,True,False,True,False,False,False,False,0.08695652173913043,150000.0
26,300000,9.0,10000,10.38,0,0.03,0,4,2,False,True,False,False,True,False,False,False,0.15384615384615385,30000.0
26,300000,0.0,25000,15.33,0,0.08,0,3,4,False,False,False,True,False,False,False,False,0.11538461538461539,300000.0
25,300000,9.0,18000,16.45,0,0.06,0,3,5,False,False,False,False,True,False,False,False,0.12,30000.0
26,80690,8.0,30000,7.49,1,0.37,0,3,1,False,False,True,False,False,False,True,False,0.11538461538461539,8965.555555555555
22,66300,4.0,30000,12.69,1,0.38,0,3,2,False,False,True,False,False,True,False,False,0.13636363636363635,13260.0
26,89028,0.0,30000,6.62,1,0.34,0,3,1,False,False,True,False,False,False,False,False,0.11538461538461539,89028.0
24,78000,4.0,30000,15.31,1,0.38,1,4,4,False,False,True,False,False,False,False,False,0.16666666666666666,15600.0
23,78000,7.0,30000,18.62,1,0.38,1,3,6,False,False,True,False,False,False,False,False,0.13043478260869565,9750.0
23,92004,6.0,30000,15.23,1,0.33,1,3,3,False,False,True,False,False,False,True,False,0.13043478260869565,13143.42857142857
23,97000,7.0,30000,10.65,1,0.31,0,2,2,False,False,True,False,False,False,False,True,0.08695652173913043,12125.0
25,120000,9.0,30000,7.9,0,0.25,0,4,1,False,False,True,True,False,False,False,False,0.16,12000.0
26,280000,4.0,10000,15.96,0,0.04,1,3,3,False,False,True,False,False,False,True,False,0.11538461538461539,56000.0
26,277104,0.0,20000,11.48,0,0.07,0,3,2,False,False,True,False,False,False,False,True,0.11538461538461539,277104.0
23,277000,3.0,35000,7.49,0,0.13,0,4,1,False,True,False,False,False,False,True,False,0.17391304347826086,69250.0
25,128000,9.0,30000,7.29,0,0.23,0,4,1,False,False,True,False,False,False,True,False,0.16,12800.0
24,12000,2.0,1750,16.77,0,0.15,1,3,5,False,True,False,False,False,False,False,True,0.125,4000.0
21,131000,0.0,30000,5.99,0,0.23,0,4,1,False,False,True,False,False,False,False,True,0.19047619047619047,131000.0
22,275000,6.0,12000,11.58,0,0.04,0,2,2,False,True,False,False,False,False,False,True,0.09090909090909091,39285.71428571428
26,263000,0.0,10000,10.99,1,0.04,0,4,2,False,False,False,True,False,False,False,False,0.15384615384615385,263000.0
25,221850,9.0,25000,15.7,1,0.1,0,2,4,False,False,False,False,False,True,False,False,0.08,22185.0
22,70000,6.0,29100,15.99,1,0.42,0,3,4,False,False,True,True,False,False,False,False,0.13636363636363635,10000.0
26,260000,10.0,28000,10.99,0,0.11,0,3,2,False,True,False,False,True,False,False,False,0.11538461538461539,23636.363636363636
25,259000,9.0,20000,14.42,0,0.08,1,2,4,False,False,False,False,True,False,False,False,0.08,25900.0
25,250000,2.0,25000,13.49,0,0.1,0,4,3,False,False,True,False,False,True,False,False,0.16,83333.33333333333
25,12000,0.0,3000,13.48,1,0.25,0,3,3,False,True,False,False,False,True,False,False,0.12,12000.0
22,56950,6.0,28000,7.49,1,0.49,0,2,1,False,False,True,False,False,True,False,False,0.09090909090909091,8135.714285714285
23,65000,2.0,28000,7.9,1,0.43,0,2,1,False,False,True,True,False,False,False,False,0.08695652173913043,21666.666666666668
26,85000,2.0,28000,7.49,1,0.33,0,3,1,False,False,True,False,False,False,False,True,0.11538461538461539,28333.333333333332
